ID,Name,Age,City
11,Zane,20,Bangalore
19,Frank,20,Hyderabad
43,Charlie,20,Kolkata
19,Frank,20,Hyderabad
14,Alice,21,Pune
23,Liam,21,Kochi
34,Yara,21,Hyderabad
37,Eva,21,Pune
14,Alice,21,Pune
2,Priya,22,Mumbai
30,Kiran,22,Hyderabad
28,Nikhil,23,Chennai
32,Olivia,23,Chennai
4,Liam,24,Delhi
27,Frank,25,Chennai
35,Vikram,25,Bangalore
47,Xavier,25,Pune
3,Frank,26,Mumbai
7,Kiran,26,Kochi
36,Hannah,26,Kolkata
40,Maya,26,Chennai
48,David,26,Chennai
1,Vikram,27,Kochi
15,David,27,Bangalore
29,Liam,27,Chennai
38,Bob,27,Kochi
15,David,27,Bangalore
25,Xavier,28,Pune
9,Ibrahim,31,Hyderabad
5,Uma,32,Hyderabad
6,Vikram,32,Hyderabad
13,Uma,33,Delhi
50,Frank,34,Bangalore
22,Priya,35,Delhi
42,Maya,35,Pune
49,Xavier,35,Pune
8,Hannah,36,Bangalore
10,Bob,37,Bangalore
21,Yara,37,Bangalore
39,Nikhil,37,Hyderabad
41,Rahul,37,Bangalore
46,Grace,37,Delhi
17,Eva,38,Kochi
26,Zane,38,Hyderabad
31,Sara,38,Mumbai
17,Eva,38,Kochi
12,Wendy,39,Kolkata
18,Vikram,39,Delhi
20,Maya,39,Delhi
24,Nikhil,39,Delhi
44,Priya,39,Kolkata
18,Vikram,39,Delhi
16,Quinn,40,Kochi
33,Jack,40,Delhi
45,David,40,Hyderabad
16,Quinn,40,Kochi
